bambino, bambini
ragazzo, ragazzi
donna, donne
uomo, uomini
gatto, gatti
cane, cani
fiore, fiori
albero, alberi
libro, libri
scuola, scuole
amico, amici
macchina, macchine
mela, mele
studente, studenti
professore, professori
città, città
notte, notti
giorno, giorni
piede, piedi
mano, mani
anello, anelli
occhio, occhi
orecchio, orecchie
cavallo, cavalli
tavolo, tavoli
sedia, sedie
porta, porte
finestra, finestre
telefono, telefoni
computer, computer
quaderno, quaderni
penna, penne
borsa, borse
scarpa, scarpe
casa, case
strada, strade
albergo, alberghi
negozio, negozi
macellaio, macellai
panettiere, panettieri
farmacia, farmacie
ospedale, ospedali
dentista, dentisti
chirurgo, chirurghi
infermiera, infermiere
maestra, maestre
insegnante, insegnanti
dirigente, dirigenti
operaio, operai
impiegato, impiegati
manager, manager
pittore, pittori
scultore, scultori
musicista, musicisti
attore, attori
attrice, attrici
cantante, cantanti
ballerino, ballerini
danzatrice, danzatrici
scrittrice, scrittrici
poeta, poeti
autista, autisti
meccanico, meccanici
ingegnere, ingegneri
architetto, architetti
medico, medici
avvocato, avvocati
giudice, giudici
poliziotto, poliziotti
pompiere, pompieri
soldato, soldati
marinaio, marinai
pilota, piloti
astronauta, astronauti
capitano, capitani
nave, navi
barca, barche
aereo, aerei
treno, treni
autobus, autobus
bicicletta, biciclette
motocicletta, motociclette
camion, camion
furgone, furgoni
trattore, trattori
carrozza, carrozze
trattore, trattori
mulino, mulini
sega, seghe
martello, martelli
chiodo, chiodi
vite, viti
bullone, bulloni
pinza, pinze
cacciavite, cacciaviti
martello, martelli
pialla, pialle
taglierina, taglierine
calcolatrice, calcolatrici
libreria, librerie
enciclopedia, enciclopedie
romanzo, romanzi
rivista, riviste
giornale, giornali
dizionario, dizionari
atlante, atlanti
mappamondo, mappamondi
quaderno, quaderni
album, album
cornice, cornici
fotografia, fotografie
video, video
film, film
cartone, cartoni
musica, musiche
concerto, concerti
orchestra, orchestre
sinfonia, sinfonie
cantante, cantanti
batterista, batteristi
chitarrista, chitarristi
bassista, bassisti
tastierista, tastieristi
direttore, direttori
sala, sale
teatro, teatri
cinema, cinema
scena, scene
attore, attori
attrice, attrici
regista, registi
produttore, produttori
sceneggiatore, sceneggiatori
scenografia, scenografie
scena, scene
spettacolo, spettacoli
applauso, applausi
critica, critiche
recensione, recensioni
voto, voti
giuria, giurie
premio, premi
targa, targhe
medaglia, medaglie
trofeo, trofei
coppa, coppe
vincitore, vincitori
sconfitta, sconfitte
avversario, avversari
compagno, compagni
squadra, squadre
allenatore, allenatori
giocatore, giocatori
partita, partite
torneo, tornei
campionato, campionati
squadra, squadre
campo, campi
stadio, stadi
spalti, spalti
tifoso, tifosi
arbitro, arbitri
giudice, giudici
assistente, assistenti
portiere, portieri
difensore, difensori
centrocampista, centrocampisti
attaccante, attaccanti
gol, gol
rete, reti
pallone, palloni
maglia, maglie
divisa, divise
scarpa, scarpe
calzino, calzini
parastinco, parastinchi
guanto, guanti
capitano, capitani
allenamento, allenamenti
tecnica, tecniche
strategia, strategie
tattica, tattiche
risultato, risultati
classifica, classifiche
vittoria, vittorie
pareggio, pareggi
sconfitta, sconfitte
punizione, punizioni
fallo, falli
ammonizione, ammonizioni
espulsione, espulsioni
calcio, calci
punizione, punizioni
rigore, rigori
fuorigioco, fuorigioco
campione, campioni
record, record
prestazione, prestazioni
abbraccio, abbracci
accademia, accademie
albergo, alberghi
amore, amori
amuleto, amuleti
ananas, ananassi
animale, animali
annuncio, annunci
aereo, aerei
bagaglio, bagagli
banca, banche
barca, barche
bicchiere, bicchieri
biglietto, biglietti
biscotto, biscotti
borsa, borse
bracciale, bracciali
calcio, calci
calendario, calendari
cameriere, camerieri
camicia, camicie
campagna, campagne
campo, campi
candela, candele
canzone, canzoni
capitale, capitali
caramella, caramelle
carnevale, carnevali
cartolina, cartoline
casco, caschi
castello, castelli
cavaliere, cavalieri
cena, cene
cercatore, cercatori
cerchio, cerchi
cervo, cervi
cestino, cestini
cibo, cibi
ciotola, ciotole
cittadino, cittadini
colazione, colazioni
colomba, colombe
coltello, coltelli
commercio, commerci
compleanno, compleanni
concerto, concerti
conchiglia, conchiglie
condizione, condizioni
conoscenza, conoscenze
conversazione, conversazioni
coraggio, coraggi
cornice, cornici
corpo, corpi
costruzione, costruzioni
cucina, cucine
cuoco, cuochi
cuscino, cuscini
dente, denti
dettaglio, dettagli
diamante, diamanti
dichiarazione, dichiarazioni
disegno, disegni
documento, documenti
domenica, domeniche
dottore, dottori
dubbio, dubbi
eco, echi
edificio, edifici
effetto, effetti
elemento, elementi
elezione, elezioni
emozione, emozioni
energia, energie
esempio, esempi
esercizio, esercizi
evento, eventi
fabbrica, fabbriche
fagiolo, fagioli
fatto, fatti
fazzoletto, fazzoletti
fenomeno, fenomeni
ferita, ferite
festa, feste
fiaba, fiabe
finestra, finestre
fiore, fiori
fiume, fiumi
formaggio, formaggi
fotografia, fotografie
fragola, fragole
frase, frasi
fratello, fratelli
funzione, funzioni
galassia, galassie
gamba, gambe
giardino, giardini
giornata, giornate
giovane, giovani
giudice, giudici
goccia, gocce
gomito, gomiti
grazie, grazie
gruppo, gruppi
guancia, guance
guanto, guanti
gusto, gusti
idea, idee
immagine, immagini
impresa, imprese
incidente, incidenti
indicazione, indicazioni
industria, industrie
infermiera, infermiere
ingresso, ingressi
insetto, insetti
intenzione, intenzioni
invito, inviti
isola, isole
istruzione, istruzioni
lavoro, lavori
lezione, lezioni
libertà, libertà
limone, limoni
lingua, lingue
lista, liste
luna, lune
luogo, luoghi
macchina, macchine
magia, magie
mamma, mamme
marito, mariti
maschera, maschere
matita, matite
medaglia, medaglie
mela, mele
memoria, memorie
mento, menti
meraviglia, meraviglie
mese, mesi
messaggio, messaggi
metallo, metalli
metro, metri
mezzo, mezzi
migliore, migliori
minuto, minuti
mozzarella, mozzarelle
museo, musei
musica, musiche
neve, nevi
notizia, notizie
nuvola, nuvole
occhio, occhi
ombra, ombre
operazione, operazioni
orologio, orologi
orto, orti
pagina, pagine
palazzo, palazzi
palla, palle
pane, pani
paese, paesi
panchina, panchine
parete, pareti
parola, parole
partita, partite
pasta, paste
paura, paure
penna, penne
persona, persone
pesce, pesci
pettine, pettini
